,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
satisfaction_level,1.0,0.10502121397148648,-0.14296958603690096,-0.020048113219472644,-0.10086607257796669,0.05869724105197295,-0.3883749834241161,0.025605185709040485,0.003153297148304201,0.011754159906588317
last_evaluation,0.10502121397148648,1.0,0.34933258851626237,0.3397417998383594,0.13159072244765863,-0.0071042885196038325,0.006567120447529851,-0.008683767904798018,0.0077721200110878776,0.013964914816116733
number_project,-0.14296958603690096,0.34933258851626237,1.0,0.41721063440177986,0.1967858912637905,-0.004740547719769696,0.023787185071774745,-0.006063957924538921,0.009268276703092715,0.009671757113211913
average_montly_hours,-0.020048113219472644,0.3397417998383594,0.41721063440177986,1.0,0.1277549103618603,-0.01014288818580297,0.07128717878330088,-0.0035444142929947717,0.003913132992929628,0.007081960389465938
time_spend_company,-0.10086607257796669,0.13159072244765863,0.1967858912637905,0.1277549103618603,1.0,0.0021204180967097077,0.14482217493938626,0.06743292538341968,-0.01800956371497093,-0.0030862556609847925
Work_accident,0.05869724105197295,-0.0071042885196038325,-0.004740547719769696,-0.01014288818580297,0.0021204180967097077,1.0,-0.15462163370513443,0.039245434583548434,0.00342507823838194,-0.0025056058839911855
left,-0.3883749834241161,0.006567120447529851,0.023787185071774745,0.07128717878330088,0.14482217493938626,-0.15462163370513443,1.0,-0.06178810657920049,0.03210529363368064,-0.0012937168329337446
promotion_last_5years,0.025605185709040485,-0.008683767904798018,-0.006063957924538921,-0.0035444142929947717,0.06743292538341968,0.039245434583548434,-0.06178810657920049,1.0,-0.027335879640673185,-0.0013184245684922764
Department,0.003153297148304201,0.0077721200110878776,0.009268276703092715,0.003913132992929628,-0.01800956371497093,0.00342507823838194,0.03210529363368064,-0.027335879640673185,1.0,0.0006847083131680254
salary,0.011754159906588317,0.013964914816116733,0.009671757113211913,0.007081960389465938,-0.0030862556609847925,-0.0025056058839911855,-0.0012937168329337446,-0.0013184245684922764,0.0006847083131680254,1.0
